target_ref,target_gnt_idx,target_row_idx,similarity,corpus,unit_type,unit_id,ref,snippet
1Cor 6:9,112,112,0.91488045,1Clem,merged_chunk,1Clem_28.4-29.2,1Clem 28.4;29.1;29.2,"ποῖ οὖν τις ἀπέλθῃ ἢ ποῦ ἀποδράσῃ ἀπὸ τοῦ τὰ πάντα ἐμπεριέχοντος; Προσέλθωμεν οὖν αὐτῷ ἐν ὁσιότητι ψυχῆς, ἁγνὰς καὶ ἀμιάντους χεῖρας αἴροντες πρὸς αὐτόν, ἀγαπῶντες τὸν ἐπιεικῆ καὶ εὔσπλαγχνον πατέρα ἡμῶν, ὃς ἐκλογῆς μέρος ἡμᾶς ἐποίησεν ἑαυτῷ. οὕτω γὰρ γέγραπτα"
1Cor 6:9,112,112,0.91482276,1Clem,merged_chunk,1Clem_21.8-22.1,1Clem 21.8;21.9;22.1,"τὰ τέκνα ἡμῶν τῆς ἐν Χριστῷ παιδείας μεταλαμβανέτωσαν: μαθέτωσαν, τί ταπεινοφροσύνη παρὰ θεῷ ἰσχύει, τί ἀγάπη ἁγνὴ παρὰ θεῷ δύναται, πῶς ὁ φόβος αὐτοῦ καλὸς καὶ μέγας καὶ σώζων πάντας τοὺς ἐν αὐτῷ ὁσίως ἀναστρεφομένους ἐν καθαρᾷ διανοίᾳ. ἐρευνητὴς γάρ ἐστιν ἐν"
1Cor 6:9,112,112,0.91076404,1Clem,merged_chunk,1Clem_35.3-35.6,1Clem 35.3;35.4;35.5;35.6,"τίνα οὖν ἄρα ἐστὶν τὰ ἑτοιμαζόμενα τοῖς ὑπομένουσιν; ὁ δημιουργὸς καὶ πατὴρ τῶν αἰώνων ὁ πανάγιος αὐτὸς γινώσκει τὴν ποσότητα καὶ τὴν καλλονὴν αὐτῶν. ἡμεῖς οὖν ἀγωνισώμεθα εὑρεθῆναι ἐν τῷ ἀριθμῷ τῶν ὑπομενόντων, ὅπως μεταλάβωμεν τῶν ἐπηγγελμένων δωρεῶν. πῶς δὲ"
1Cor 6:9,112,112,0.9106057,Didache,merged_chunk,Didache_11.2-11.5,Didache 11.2;11.3;11.4;11.5,"ἐὰν δὲ αὐτὸς ὁ διδάσκων στραφεὶς διδάσκῃ ἄλλην διδαχὴν εἰς τὸ καταλῦσαι, μὴ αὐτοῦ ἀκούσητε: εἰς δὲ τὸ προσθεῖναι δικαιοσύνην καὶ γνῶσιν κυρίου, δέξασθε αὐτὸν ὡς κύριον. Περὶ δὲ τῶν ἀποστόλων καὶ προφητῶν, κατὰ τὸ δόγμα τοῦ εὐαγγελίου οὕτω ποιήσατε. πᾶς δὲ ἀπόσ"
1Cor 6:9,112,112,0.9102937,1Clem,merged_chunk,1Clem_43.1-43.1,1Clem 43.1,"Καὶ τί θαυμαστόν, εἰ οἱ ἐν Χριστῷ πιστευθέντες παρὰ θεοῦ ἔργον τοιοῦτο κατέστησαν τοὺς προειρημένους; ὅπου καὶ ὁ μακάριος πιστὸς θεράπων ἐν ὅλῳ τῷ οἴκῳ Μωϋσῆς τὰ διατεταγμένα αὐτῷ πάντα ἐσημειώσατο ἐν ταῖς ἱεραῖς βίβλοις, ᾧ καὶ ἐπηκολούθησαν οἱ λοιποὶ προφῆται"
1Cor 6:9,112,112,0.90743697,1Clem,merged_chunk,1Clem_33.3-33.4,1Clem 33.3;33.4,τῷ γὰρ παμμεγεθεστάτῳ αὐτοῦ κράτει οὐρανοὺς ἐστήρισεν καὶ τῇ ἀκαταλήπτῳ αὐτοῦ συνέσει διεκόσμησεν αὐτούς: γῆν τε διεχώρισεν ἀπὸ τοῦ περιέχοντος αὐτὴν ὕδατος καὶ ἥδρασεν ἐπὶ τὸν ἀσφαλῆ τοῦ ἰδίου βουλήματος θεμέλιον: τά τε ἐν αὐτῇ ζῶα φοιτῶντα τῇ ἑαυτοῦ διατάξει
1Cor 6:9,112,112,0.90733737,1Clem,merged_chunk,1Clem_31.4-32.2,1Clem 31.4;32.1;32.2,"Ἰακὼβ μετὰ ταπεινοφροσύνης ἐξεχώρησεν τῆς γῆς αὐτοῦ δἰ ἀδελφὸν καὶ ἐπορεύθη πρὸς Λαβὰν καὶ ἐδούλευσεν, καὶ ἐδόθη αὐτῷ τὸ δωδεκάσκηπτρον τοῦ Ἰσραήλ. Ὃ ἐάν τις καθ̓ ἓν ἕκαστον εἰλικρινῶς κατανοήσῃ, ἐπιγνώσεται μεγαλεῖα τῶν ὑπ̓ αὐτοῦ δεδομένων δωρεῶν. ἐξ αὐτοῦ γὰ"
1Cor 6:9,112,112,0.90701723,1Clem,merged_chunk,1Clem_43.4-43.5,1Clem 43.4;43.5,"καὶ εἶπεν αὐτοῖς: Ἅνδρες ἀδελφοί, ἦς ἂν φυλῆς ἡ ῥάβδος βλαστήσῃ, ταύτην ἐκλέλεκται ὁ θεὸς εἰς τὸ ἱερατεύειν καὶ λειτουργεῖν αὐτῷ. πρωΐας δὲ γενομένης συνεκάλεσεν πάντα τὸν Ἰσραήλ, τὰς ἑξακοσίας χιλιάδας τῶν ἀνδρῶν, καὶ ἐπεδείξατο τοῖς φυλάρχοις τὰς σφραγῖδας, "
1Cor 6:9,112,112,0.9068647,Didache,merged_chunk,Didache_10.2-10.3,Didache 10.2;10.3,"Εὐχαριστοῦμέν σοι, πάτερ ἅγιε, ὑπὲρ τοῦ ἁγίου ὀνόματός σου, οὗ κατεσκήνωσας ἐν ταῖς καρδίαις ἡμῶν, καὶ ὑπὲρ τῆς γνώσεως καὶ πίστεως καὶ ἀθανασίας, ἧς ἐγνώρισας ἡμῖν διὰ Ἰησοῦ τοῦ 1, 14; 18, 1; 24, 8; 4, 11 παιδός σου: σοὶ ἡ δόξα εἰς τοὺς αἰῶνας. σύ, δέσποτα πα"
1Cor 6:9,112,112,0.90656334,Didache,merged_chunk,Didache_11.6-11.9,Didache 11.6;11.7;11.8;11.9,"ἐξερχόμενος δὲ ὁ ἀπόστολος μηδὲν λαμβανέτω εἰ μὴ ἄρτον, ἕως οὖ αὐλισθῇ: ἐὰν δὲ ἀργύριον αἰτῇ, ψευδοπροφήτης ἐστί. Καὶ πάντα προφήτην λαλοῦντα ἐν πνεύματι οὐ πειράσετε οὐδὲ διακρινεῖτε: πᾶσα γὰρ ἁμαρτία ἀφεθήσεται, αὕτη δὲ ἡ ἁμαρτία οὐκ ἀφεθήσεται. οὐ πᾶς δὲ ὁ "
